origine,destination,distance,train_emissions,bus_emissions,plane_emissions,electric_car_emissions,thermal_car_emissions
Paris Gare de Lyon,Annecy,545.0,1.5805,19.32,,26.32,60.368
Paris Gare de Lyon,Zuerich HB,614.0,2.0876,22.5975,70.36030000000001,30.785,70.609
Paris Saint-Lazare,Rouen Rive Droite,139.0,3.3916,5.037,,6.862,15.7388
Paris Montparnasse,La Rochelle,460.0,1.334,11.454,,15.604,35.7896
Paris Gare de Lyon,Grenoble,556.09,1.6126610000000001,19.872,,27.072,62.0928
Paris Gare du Nord,Lille Europe,225.249,0.6532220999999999,7.935,,10.81,24.794
Paris Saint-Lazare,Le Havre Gare locale,228.0,5.5632,7.2795,,9.917,22.7458
Paris-Gare-de-Lyon,Clermont-Ferrand,419.0,2.933,14.628,49.8684,19.928,45.7072
Paris Montparnasse,Saint-Pierre-des-Corps,221.0,0.6409,8.2455,,11.233,25.764200000000002
Paris Montparnasse,Biarritz,744.496,2.1590384,27.0135,95.86770000000001,36.801,84.4074
Paris Montparnasse,Brest,613.0,1.7777,20.424,72.07990000000001,27.824,63.8176
Paris Gare de Lyon,Barcelona Sants,1076.0,3.1204,35.811,119.2256,48.786,111.8964
Paris Gare de Lyon,Chambéry - Challes-les-Eaux,531.951,1.5426579,19.6995,,26.837,61.553799999999995
Paris Montparnasse,Bordeaux Saint-Jean,537.13,1.557677,20.2515,129.6294,27.589,63.2786
Paris-Austerlitz,Limoges-Bénédictins,400.0,2.8,13.524,,18.424,42.2576
Paris Gare de Lyon,Nice,971.68,2.817872,32.223,179.3467,43.898,100.6852
Paris Est,Freiburg Breisgau HBF,530.0,3.604,20.562,,28.012,64.24879999999999
Paris Est,Metz,352.0,1.0208,11.454,,15.604,35.7896
Paris Nord,Bruxelles N Aero,314.0,2.4178,10.764,37.9745,14.664,33.6336
Paris Gare de Lyon,Geneve,503.0,1.7102,18.6645,59.03960000000001,25.427,58.319799999999994
Paris Gare de Lyon,Torino Porta Susa,734.0,5.651800000000001,26.772,83.9738,36.472,83.6528
Paris Gare de Lyon,Montpellier Saint-Roch,738.861,2.1426969,25.8405,155.1388,35.203,80.7422
Paris Austerlitz,Orléans,121.0,2.9523999999999995,4.692,,6.392,14.6608
Paris Nord,Koeln HBF,823.0,6.3371,17.181,,23.406,53.684400000000004
Paris Gare de Lyon,Milano P Garibaldi,877.0,6.7529,31.4985,91.99860000000001,42.911,98.42139999999999
Paris Montparnasse,Le Mans,202.0,0.5858,7.2105,,9.823,22.5302
Paris Gare de Lyon,Besançon Franche Comté,367.0,1.0643,14.352,,19.552,44.84479999999999
Paris Montparnasse,Arcachon,595.0,1.7255,19.5,,30.55,70.07
Paris Gare de Lyon,Marseille Saint-Charles,750.138,2.1754002,26.7375,172.3186,36.425,83.545
Paris Gare de Lyon,Toulon,812.0,2.3547999999999996,28.9455,181.1688,39.433,90.4442
Paris Nord,Amsterdam Centraal,545.0,4.1965,17.5605,61.7623,23.923,54.8702
Paris Gare de Lyon,Basel SBB,525.0,1.785,19.6995,,26.837,61.553799999999995
Paris Montparnasse,Vannes,489.0,1.4181,16.008,,21.808,50.0192
Paris Est,Strasbourg,450.58,1.3066820000000001,16.836,,22.9125,52.6064
Paris Est,Mulhouse,495.0,1.4355,18.6645,56.17360000000001,25.427,58.319799999999994
Paris Est,Nancy,367.0,1.0643,13.317,,18.142,41.6108
Paris Nord,Calais Ville,335.0,0.9715,10.2465,,13.959,32.0166
Paris Saint-Lazare,Trouville-Deauville,219.0,5.3435999999999995,7.3485,,10.011,22.961399999999998
Paris Est,Reims,146.156,0.42385239999999996,5.0025,,6.815,15.631
Paris Gare de Lyon,Lausanne,479.0,1.6285999999999998,17.94,,24.44,56.056
Paris Nord,London St-Pancras,496.0,3.3728,15.939,49.00860000000001,21.714,49.803599999999996
Paris Gare de Lyon,Lyon Part Dieu,429.496,1.2455383999999998,16.077,102.55820000000001,21.855,50.23479999999999
Paris-Austerlitz,Brive-la-Gaillarde,498.0,3.486,16.698,,22.748,52.1752
